a,person_id,fio,orcid,researcherId,scopusId,openAlexId,alt_fios
6729,1082873,Anne Kathrin Becker,,,,A5001487494,A. Becker; A. K. Becker; Anne Kathrin Becker
6730,1082874,Marcos Vinicius Silva Oliveira,0000-0001-8887-5941,,,A5001639056,M. Oliveira; M. V. Silva Oliveira; Marcos Vinicius Silva Oliveira; M.V Silva Oliveira; Maria Marleide de Oliveira; Maristela Cesquini Oliveira
6731,1082875,J.R. Hansen,,,,A5001864896,J. Hansen; J. R. Hansen; Jø rgen Beck Hansen
6732,1082876,L. Rossi,0000-0003-2158-7288,,,A5002863646,L. Rossi; L. P. Rossi; Lucio Rossi
6733,1082877,A. Pacheco Pages,,,,A5003268656,A Pacheco Pagés; A. Pacheco Pages; Andreu Pacheco Pages
6734,1082878,M. Liu,,,,A5006388353,M. Liu
6735,1082879,O. Zenin,,,,A5008840907,O. V. Zenin; O. Zenin; Oleg Zenin
6736,1082880,F. Dinut,,,,A5009316740,F. Dinut; Florin Dinut
6737,1082881,N. I. Zimin,,,,A5009751312,N I. Zimin; N. I. Zimin; N. Zimin; N.I Zimin; Nikolai Zimin
6738,1082882,B. Bittner,,,,A5010618866,B. Bittner; Bernhard Bittner
6739,1082883,H. Zhang,,,,A5013434487,H. Zhang
6740,1082884,F. M. Newcomer,,,,A5013619214,F. M. Newcomer; F. Mitchel Newcomer; F.M Newcomer
6741,1082885,R. Gonҫalo,,,,A5014354818,R. Gonҫalo
6742,1082886,F. Lepold,,,,A5015326471,F. Lepold; Florian Lepold
6743,1082887,A. E. Loevschall-Jensen,,,,A5015431666,A. E. Loevschall‐Jensen; Ask Emil Loevschall‐Jensen
6744,1082888,B. Mac ek,,,,A5017082444,B. Mac ek
6745,1082889,W. M. Thong,,,,A5017844258,W. M. Thong; Wai Meng Thong
