a,person_id,fio,orcid,researcherId,scopusId,openAlexId,alt_fios,cluster_id
39533,1023420,R. Lipton,0000-0002-6665-7289,,,A5078048335,R. Lipton; Ronald Lipton; R. J. Lipton; R.J Lipton; Ron Lipton,1061
41224,1025263,R. Lipton,,,,A5001385979,R. Lipton; R.J. Lipton; Ronald J. Lipton; Ronald Jacob Lipton; Ronald Lipton,1061
44811,1029546,R. Le Gac,0000-0002-7551-6971,,,A5040862987,R. Gac; R. Le Gac; R. LeGac; Renaud Le Gac,1062
49863,1041934,R. Le Gac,,,,A5020245635,R. Gac; R. Le Gac; Rl Gac,1062
5016,1081160,G. Iacobucci,0000-0001-9965-5442,,,A5061823625,G. Iacobucci; Giuseppe Iacobucci; G. Iacobuccia,1063
7651,1084747,G. Iacobucci,,,,A5021916765,G. Iacobucci; Giuseppe Iacobucci,1063
5477,1081621,G. Iakovidis,0000-0002-0330-5921,,,A5078944676,G. Iakovidis; George Iakovidis; Georgios Iakovidis,1064
7671,1084767,G. Iakovidis,,,,A5027468571,G. Iakovidis; George Iakovidis,1064
7886,1084982,G. I. Dyckes,0000-0003-1464-0335,,,A5005133071,G. I. Dyckes; G. Dyckes; G.I Dyckes; George Dyckes; George Ian Dyckes,1065
14083,1091480,G. I. Dyckes,,,,A5054986385,G. I. Dyckes; GI Dyckes,1065
39134,1023021,G. Iaselli,0000-0003-2546-5341,,,A5062316570,G. Iaselli; Giuseppe Iaselli,1066
43800,1027842,G. Iaselli,,,,A5087383023,G. Iaselli; Guiseppe Iaselli,1066
39422,1023309,G. I. Veres,,,,A5073209394,G. I Veres; G. I. Veres; G. Veres,1067
42744,1026783,G. I. Veres,0000-0002-5440-4356,,,A5082920659,G. I Veres; G. I. Veres; G. Veres; Gabor I. Veres; Gabor Istvan Veres; Gabor Veres; Gábor I. Veres; Gábor Veres,1067
39674,1023561,G. Iles,0000-0002-1219-5859,,,A5083504247,G. Iles; G. M. Iles; G.M Iles; Gregory Iles; Gregory M. Iles,1068
40155,1024043,G. Iles,,,,A5036755672,G. Iles; Greg Iles,1068
39430,1023317,I. Ojalvo,,,,A5073368136,I. Ojalvo; Isobel Ojalvo; Isobel Rose Ojalvo,1069
40181,1024069,I. Ojalvo,0000-0003-1455-6272,,,A5040473355,I. Ojalvo; Isabel Ojalvo,1069
4210,1080354,L. E. Price,,,,A5031281917,L. E. Price; L. Price; Lawrence E. Price; Lawrence Edward Price; Lawrence Price,1070
10643,1087873,L. E. Price,,,,A5010571094,L. E. Price; L. Price; LR Price,1070
6576,1082720,L. E. Pedersen,,,,A5076120845,L. E. Pedersen,1071
10748,1087978,L. E. Pedersen,,,,A5050685294,Lars Pedersen; L. E. Pedersen; L Pedersen; L. Egholm Pedersen; Lars E. Pedersen; Lars Egholm Pedersen,1071
2824,1070932,A. Irles Quiles,,,,A5073693705,A. Irles Quiles; Adrian Irles Quiles; A. Irles; A. IrlesQuiles; A. Irles‐Quiles; Adrian Irles; Adrian Irles‐Quiles; Adrián Irles,1072
7686,1084782,A. Irles Quiles,,,,A5031891836,A. Irles Quiles; Adrian Irles Quiles,1072
3451,1079595,A. I. Etienvre,,,,A5000539302,A. I. Etienvre; A.‐I. Etienvre; Anne‐Isabelle Etienvre,1073
9790,1086886,A. I. Etienvre,,,,A5045133610,A. Etienvre; A. I. Etienvre; A.‐I. Etienvre,1073
10031,1087127,A. Ivashin,,,,A5081392336,A. Ivashin; AV Ivashin,1074
14378,1091835,A. Ivashkin,,,,A5010337366,A. Ivashkin; A. P. Ivashkin; A.P Ivashkin; Alexander Ivashkin; Alexander P. Ivashkin; Ivashkin Ap,1074
38424,1022311,A. Ivanov,0000-0002-9270-5643,,,A5033976344,А Г Иванов; Andrew G. Ivanov; Andrew Gennadievich Ivanov,1075
40038,1023926,A. Ivanov,,,,A5021514048,A. Ivanov; Andrew Ivanov; A. E. Ivanov; Andrei Ivanov; Andrei E. Ivanov,1075
45183,1029918,A. Ivanov,,,,A5002565375,A. S. Ivanov; А. С. Иванов; Andrey Ivanov; A.S Ivanov; Andrei Ivanov; Andrey Sergeevich Ivanov,1075
5552,1081696,V. Tsulaia,0000-0001-8157-6711,,,A5082140582,V. Tsulaia; Vakhtang Tsulaia,1076
10827,1088057,V. Tsulaia,,,,A5077580248,V. M. Tsulaia; V. Tsulaia; Vakho Tsulaia,1076
4286,1080430,E. Le Guirriec,0000-0001-5227-6736,,,A5034041919,E. Guirriec; E. Le Guirriec; Emanuel Le Guirriec; Emmanuel Le Guirriec,1077
11642,1088874,E. LeGuirriec,,,,A5087161971,E. LeGuirriec,1077
4929,1081073,E. Lançon,0000-0002-0225-187X,,,A5058458958,E. Lancon; E. Lançon; Eric Christian Lancon; Eric Christian Lançon; Eric Lancon; Eric Lançon,1078
29306,1107513,E. LanCcon,,,,A5044455348,E. LanCcon,1078
5077,1081221,E. Lund,,,,A5063940752,E. Lund; E.A.E. Lund; Esben Lund,1079
11699,1088931,E. Lund,,,,A5075053239,E. Lund; E. Wang Lund; Espen Lund,1079
5664,1081808,E. Le Ménédeu,,,,A5086231066,E. Le Menedeu; E. Le Ménédeu; E. Menedeu; Eve Le Menedeu; Eve Le Ménédeu,1080
11589,1088821,E. LeMenedeu,,,,A5048346922,E. LeMenedeu,1080
6069,1082213,E. L. Gkougkousis,0000-0002-2132-2071,,,A5023901313,E. Gkougkousis; Evangelos Gkougkousis; E. L. Gkougkousis; Evangelos Leonidas Gkougkousis; Vagelis,1081
