person1,person2,common_pubs
1024225,1021872,23
1024225,1023252,26
1024225,1023312,19
1024225,1022028,26
1024225,1023661,21
1024225,1024150,26
1024225,1022106,26
1024225,1023956,4
1024225,1021592,24
1024225,1023082,15
1024225,1023556,10
1024225,1022105,26
1024225,1023361,26
1024225,1021610,26
1024225,1022593,1
1024225,1021655,26
1024225,1022437,24
1024225,1023396,25
1024225,1023337,24
1024225,1034853,24
1024225,1023613,26
1024225,1022886,24
1024225,1034961,24
1024225,1024511,1
1024225,1023703,26
1024225,1023455,17
1024225,1022274,1
1024225,1028551,20
1024225,1022655,26
1024225,1034848,6
1024225,1022186,26
1024225,1021567,26
1024225,1022988,26
1024225,1022225,26
1024225,1017978,19
1024225,1023247,4
1024225,1022157,26
1024225,1024392,26
1024225,1022971,23
1024225,1024205,2
1024225,1030160,7
1024225,1023517,9
1024225,1026942,1
1024225,1034964,24
1024225,1023550,26
1024225,1021642,25
1024225,1022585,1
1024225,1023428,19
1024225,1029899,5
1024225,1022135,24
1024225,1027624,24
1024225,1025857,22
1024225,1023555,26
1024225,1023678,2
1024225,1024654,15
1024225,1023525,26
1024225,1022449,19
1024225,1021633,17
1024225,1022947,26
1024225,1022497,14
1024225,1023645,26
1024225,1035010,20
1024225,1034988,1
1024225,1021852,14
1024225,1022427,18
1024225,1022784,26
1024225,1023749,6
1024225,1023357,26
1024225,1023249,2
1024225,1023180,26
1024225,1022385,1
1024225,1024369,25
1024225,1023005,26
1024225,1027229,14
1024225,1022516,26
1024225,1021561,1
1024225,1023856,26
1024225,1022752,26
1024225,1023830,24
1024225,1023151,26
1024225,1023780,26
1024225,1023492,26
1024225,1023537,26
1024225,1023309,12
1024225,1021608,7
1024225,1024219,8
1024225,1022114,26
1024225,1024427,24
1024225,1022972,26
1024225,1022670,26
1024225,1023510,26
1024225,1027816,14
1024225,1022679,26
1024225,1021862,2
1024225,1024356,26
1024225,1022869,18
1024225,1023094,11
1024225,1023285,26
1024225,1023895,11
1024225,1022805,12
1024225,1021819,7
1024225,1027918,24
1024225,1023937,26
1024225,1023535,20
1024225,1022741,26
1024225,1022145,25
1024225,1022538,1
1024225,1022116,18
1024225,1024326,26
1024225,1022321,19
1024225,1022680,23
1024225,1024048,7
1024225,1023244,21
1024225,1024665,8
1024225,1023246,26
1024225,1022462,15
1024225,1022974,26
1024225,1022024,26
1024225,1024364,2
1024225,1022872,25
1024225,1021828,26
1024225,1021722,24
1024225,1023294,3
1024225,1023202,1
1024225,1023418,26
1024225,1022442,2
1024225,1023597,24
1024225,1027668,7
1024225,1021994,2
1024225,1022863,26
1024225,1021560,26
1024225,1023498,16
1024225,1022131,2
1024225,1023344,7
1024225,1023041,24
1024225,1022425,26
1024225,1024368,24
1024225,1022494,26
1024225,1021461,25
1024225,1024166,26
1024225,1024370,12
1024225,1021835,26
1024225,1021825,26
1024225,1022523,25
1024225,1022584,17
1024225,1029214,7
1024225,1023829,1
1024225,1023235,11
1024225,1026213,24
1024225,1021566,17
1024225,1022997,8
1024225,1023593,24
1024225,1034755,4
1024225,1021702,20
1024225,1023160,11
1024225,1022309,26
1024225,1022722,2
1024225,1022915,24
1024225,1024134,26
1024225,1022328,26
1024225,1023626,11
1024225,1023541,20
1024225,1023003,18
1024225,1026901,18
1024225,1023767,26
1024225,1022345,7
1024225,1022245,1
1024225,1021728,25
1024225,1022737,26
1024225,1021672,1
1024225,1022703,17
1024225,1022195,26
1024225,1022253,26
1024225,1021574,25
1024225,1022037,26
1024225,1024117,26
1024225,1022957,26
1024225,1022986,25
1024225,1023299,19
1024225,1023565,26
1024225,1023951,20
1024225,1023096,16
1024225,1024440,22
1024225,1022017,26
1024225,1034918,23
1024225,1021669,26
1024225,1021921,26
1024225,1021803,26
1024225,1022776,26
1024225,1021855,26
1024225,1022933,16
1024225,1024324,3
1024225,1023411,26
1024225,1035326,1
1024225,1024260,2
1024225,1023165,26
1024225,1023911,26
1024225,1021443,26
1024225,1034976,1
1024225,1021890,26
1024225,1021533,26
1024225,1023364,24
1024225,1021769,26
1024225,1022196,26
1024225,1022532,26
1024225,1023431,2
1024225,1022597,12
1024225,1022100,25
1024225,1023226,26
1024225,1023248,26
1024225,1028576,18
1024225,1022803,26
1024225,1023333,2
1024225,1034999,3
1024225,1023444,26
1024225,1022809,22
1024225,1023495,26
1024225,1021465,26
1024225,1022853,21
1024225,1021884,10
1024225,1021518,26
1024225,1027180,11
1024225,1024222,3
1024225,1023198,23
1024225,1022674,15
1024225,1023872,22
1024225,1021933,26
1024225,1026247,5
1024225,1030014,18
1024225,1022255,26
1024225,1021838,2
1024225,1028038,7
1024225,1021886,8
1024225,1023026,1
1024225,1022435,24
1024225,1023213,26
1024225,1021694,11
1024225,1023065,1
1024225,1023424,7
1024225,1034944,21
1024225,1022765,19
1024225,1024361,16
1024225,1025742,25
1024225,1024206,3
1024225,1023340,4
1024225,1022873,23
1024225,1023421,26
1024225,1035032,3
1024225,1022485,14
1024225,1034337,21
1024225,1021958,26
1024225,1034846,24
1024225,1034720,13
1024225,1021603,26
1024225,1022287,26
1024225,1023835,25
1024225,1021942,18
1024225,1021550,2
1024225,1022919,21
1024225,1024015,2
1024225,1021949,26
1024225,1024245,8
1024225,1021473,26
1024225,1034998,1
1024225,1024380,1
1024225,1035261,13
1024225,1021870,21
1024225,1023144,26
1024225,1022568,17
1024225,1021955,26
1024225,1022204,23
1024225,1024077,25
1024225,1024336,26
1024225,1022276,26
1024225,1021923,26
1024225,1021906,26
1024225,1023844,26
1024225,1012803,2
1024225,1023682,26
1024225,1022691,26
1024225,1022208,7
1024225,1023100,1
1024225,1021790,18
1024225,1024526,8
1024225,1035263,10
1024225,1028459,24
1024225,1025882,23
1024225,1021980,26
1024225,1023908,26
1024225,1024309,26
1024225,1030090,2
1024225,1022010,26
1024225,1023290,26
1024225,1021559,1
1024225,1034840,13
1024225,1022641,26
1024225,1021768,26
1024225,1022371,26
1024225,1023130,26
